movie_id,title,original_language,release_date,runtime
lavatory+lovestory+2008,Lavatory Lovestory,ru,2008-01-01,10
journey+to+the+sun+1999,Journey to the Sun,tr,1999-02-16,104
painted+fire+2002,Painted Fire,ko,2002-05-10,120
the+bishop+murder+case+1930,The Bishop Murder Case,en,1930-01-03,88
powaqqatsi+1988,Powaqqatsi,en,1988-04-29,99
hellraiser+inferno+2000,Hellraiser: Inferno,en,2000-10-03,99
allotment+wives+1945,Allotment Wives,en,1945-11-08,80
trial+and+error+1997,Trial and Error,en,1997-05-30,98
fantmas+in+the+shadow+of+the+guillotine+1913,Fantômas: In the Shadow of the Guillotine,fr,1913-05-09,54
wild+rovers+1971,Wild Rovers,en,1971-06-23,136
forty+guns+1957,Forty Guns,en,1957-09-01,79
the+makioka+sisters+1983,The Makioka Sisters,ja,1983-12-30,140
caterina+in+the+big+city+2003,Caterina in the Big City,it,2003-10-24,105
iron+eagle+1986,Iron Eagle,en,1986-01-17,117
american+kickboxer+1991,American Kickboxer,en,1991-07-24,92
harishchandrachi+factory+2009,Harishchandrachi Factory,mr,2009-07-01,96
the+rutles+2+cant+buy+me+lunch+2002,The Rutles 2: Can't Buy Me Lunch,en,2002-01-01,56
things+to+do+in+denver+when+youre+dead+1995,Things to Do in Denver When You're Dead,en,1995-12-01,116
